filename,actionFlag,nullHyperlinkFlag,suspecLinkFlag,outLinkFlag,zeroLinkFlag,outCssFlag
http://fengniao.com,0,0.0016,0.0031,0.0343,0,0
http://onegreen.net,0,0,0,0.2222,0,0
http://duanwenxue.com,0,0.0676,0.018,0.0541,0,0
http://cnmo.com,0,0.0076,0.0038,0.1943,0,0
http://cnr.cn,0,0.017,0,0.1449,0,0
http://duwenzhang.com,0,0,0.0314,0.2147,0,0
http://qpgyy.com,0,0.0108,0,0.0036,0,0
http://tianyancha.com,0,0,0,0.0398,0,0
http://leju.com,0,0.0793,0.0006,0.1354,0,0
http://netbian.com,0,0,0,0.5104,0,0
http://globrand.com,0,0,0.0014,0.0801,0,0
http://downza.cn,0,0,0,1,0,0
http://nga.cn,0,0,0.6196,0.25,0,0
http://www.233.com,0,0.022,0,0.002,0,0
http://360che.com,0,0.0015,0.0405,0.0474,0,0
http://99.com.cn,0,0,0.003,0.0376,0,0
http://product.pconline.com.cn,0,0.0177,0,0.0063,0,0
http://csai.cn,0,0.051,0,0.0637,0,0
http://cjdby.net,1,0.0205,0.1818,0.2229,0,0
http://17house.com,0,0,0,0,1,0
http://booking.com,0,0.0088,0,0.0088,0,1
http://ikea.com,0,0.2195,0.0081,0.2033,0,0
http://ifanr.com,0,0,0.037,0.1343,0,1
http://home.meishichina.com,0,0.0068,0,0,0,0
http://fudan.edu.cn,0,0.1086,0,0.08,0,0
http://online.sh.cn,0,0,0,0.0341,0,0
http://cztv.com,0,0,0,0,1,0
http://ijq.tv,0,0.0016,0,0.0143,0,0
http://588ku.com,0,0,0,0,1,0
http://www.pcsoft.com.cn,0,0.0114,0,0.0171,0,0
http://home.meishichina.com,0,0.0068,0,0,0,0
http://fudan.edu.cn,0,0.1086,0,0.08,0,0
http://online.sh.cn,0,0,0,0.0341,0,0
http://cztv.com,0,0,0,0,1,0
http://ijq.tv,0,0.0016,0,0.0143,0,0
http://588ku.com,0,0,0,0,1,0
http://www.pcsoft.com.cn,0,0.0114,0,0.0171,0,0
http://zhongkao.com,0,0.0033,0,0.0473,0,1
http://xxsy.net,0,0.0026,0,0.0385,0,0
http://chaoxing.com,0,0.4375,0,0.125,0,0
http://11467.com,0,0,0.0028,0.0615,0,0
http://guazi.com,0,0,0,0,1,0
http://crsky.com,0,0,0,0.0652,0,0
